age,at_risk,hits,hazard,cohort
63,607,9,0.014827018121911038,events
64,598,6,0.010033444816053512,events
65,592,6,0.010135135135135136,events
66,586,4,0.006825938566552901,events
67,582,8,0.013745704467353952,events
68,574,7,0.012195121951219513,events
69,567,5,0.008818342151675485,events
70,562,5,0.008896797153024912,events
71,557,8,0.01436265709156194,events
72,549,4,0.007285974499089253,events
73,545,2,0.003669724770642202,events
74,543,3,0.0055248618784530384,events
75,540,4,0.007407407407407408,events
76,536,6,0.011194029850746268,events
77,530,5,0.009433962264150943,events
78,525,2,0.0038095238095238095,events
79,523,3,0.0057361376673040155,events
80,520,8,0.015384615384615385,events
81,512,6,0.01171875,events
82,506,6,0.011857707509881422,events
83,500,2,0.004,events
84,498,2,0.004016064257028112,events
85,496,7,0.014112903225806451,events
86,489,3,0.006134969325153374,events
87,486,4,0.00823045267489712,events
88,482,6,0.012448132780082987,events
89,476,7,0.014705882352941176,events
90,469,3,0.006396588486140725,events
91,466,7,0.015021459227467811,events
92,459,4,0.008714596949891068,events
93,455,5,0.01098901098901099,events
94,450,7,0.015555555555555555,events
95,443,5,0.011286681715575621,events
96,438,4,0.0091324200913242,events
1,1405,44,0.03131672597864769,controls
2,1361,42,0.03085966201322557,controls
3,1319,27,0.02047005307050796,controls
4,1292,25,0.01934984520123839,controls
5,1267,26,0.020520915548539857,controls
6,1241,23,0.018533440773569703,controls
7,1218,22,0.0180623973727422,controls
8,1196,15,0.01254180602006689,controls
9,1181,23,0.01947502116850127,controls
10,1158,20,0.017271157167530225,controls
11,1138,19,0.016695957820738138,controls
12,1119,12,0.010723860589812333,controls
13,1107,18,0.016260162601626018,controls
14,1089,11,0.010101010101010102,controls
15,1078,17,0.015769944341372914,controls
16,1061,15,0.01413760603204524,controls
17,1046,21,0.020076481835564052,controls
18,1025,21,0.02048780487804878,controls
19,1004,15,0.014940239043824702,controls
20,989,12,0.012133468149646108,controls
21,977,6,0.006141248720573183,controls
22,971,12,0.012358393408856848,controls
23,959,18,0.018769551616266946,controls
24,941,18,0.019128586609989374,controls
25,923,15,0.016251354279523293,controls
26,908,14,0.015418502202643172,controls
27,894,13,0.0145413870246085,controls
28,881,8,0.009080590238365494,controls
29,873,11,0.012600229095074456,controls
30,862,13,0.015081206496519721,controls
31,849,7,0.008244994110718492,controls
32,842,5,0.0059382422802850355,controls
33,837,4,0.0047789725209080045,controls
34,833,15,0.01800720288115246,controls
35,818,9,0.011002444987775062,controls
36,809,6,0.007416563658838072,controls
37,803,7,0.008717310087173101,controls
38,796,5,0.00628140703517588,controls
39,791,9,0.011378002528445006,controls
40,782,9,0.011508951406649617,controls
41,773,10,0.0129366106080207,controls
42,763,10,0.01310615989515072,controls
43,753,6,0.00796812749003984,controls
44,747,5,0.006693440428380187,controls
45,742,9,0.012129380053908356,controls
46,733,12,0.01637107776261937,controls
47,721,10,0.013869625520110958,controls
48,711,9,0.012658227848101266,controls
49,702,5,0.007122507122507123,controls
50,697,9,0.01291248206599713,controls
51,688,10,0.014534883720930232,controls
52,678,5,0.007374631268436578,controls
53,673,7,0.010401188707280832,controls
54,666,11,0.016516516516516516,controls
55,655,3,0.004580152671755725,controls
56,652,5,0.007668711656441718,controls
57,647,3,0.00463678516228748,controls
58,644,6,0.009316770186335404,controls
59,638,2,0.003134796238244514,controls
60,636,5,0.007861635220125786,controls
61,631,3,0.004754358161648178,controls
62,628,6,0.009554140127388535,controls
63,622,4,0.006430868167202572,controls
64,618,4,0.006472491909385114,controls
65,614,7,0.011400651465798045,controls
66,607,3,0.004942339373970346,controls
67,604,3,0.004966887417218543,controls
68,601,3,0.004991680532445923,controls
69,598,2,0.0033444816053511705,controls
70,596,10,0.016778523489932886,controls
71,586,3,0.005119453924914676,controls
72,583,2,0.003430531732418525,controls
73,581,5,0.008605851979345954,controls
74,576,3,0.005208333333333333,controls
75,573,5,0.008726003490401396,controls
76,568,9,0.01584507042253521,controls
77,559,5,0.008944543828264758,controls
78,554,3,0.005415162454873646,controls
79,551,4,0.007259528130671506,controls
80,547,4,0.007312614259597806,controls
81,543,3,0.0055248618784530384,controls
82,540,9,0.016666666666666666,controls
83,531,2,0.003766478342749529,controls
84,529,3,0.005671077504725898,controls
