event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
law_BTCUSDT_069792,BTCUSDT,2022,0,-0.0003278089926938106,-0.009085482791574458,0.0,0
law_BTCUSDT_070432,BTCUSDT,2022,16,-0.0014114608206415226,-0.0792883575514964,-0.10309278350515463,-1
law_BTCUSDT_076480,BTCUSDT,2022,16,-0.0014177074526483858,-0.08557453719460036,-0.08247422680412371,0
law_BTCUSDT_079200,BTCUSDT,2022,0,-0.0002907113742306284,-0.011590857854668814,-0.010309278350515464,-1
law_BTCUSDT_081888,BTCUSDT,2022,0,-0.0003493293096773081,-0.010092688098675764,0.0,0
law_BTCUSDT_082528,BTCUSDT,2022,16,-0.0017568407286922762,-0.08568969795987863,-0.10309278350515463,-1
law_BTCUSDT_082656,BTCUSDT,2022,0,-0.00024932744483258996,-0.005903115166241351,0.010309278350515464,0
law_BTCUSDT_082848,BTCUSDT,2022,0,-0.0004056427079622122,-0.01907279132943315,-0.010309278350515464,-1
law_BTCUSDT_082976,BTCUSDT,2022,8,0.0018040840140879273,0.08640750681122661,0.08247422680412371,1
law_BTCUSDT_083200,BTCUSDT,2022,16,-0.0019439607709535686,-0.09204291296947191,-0.10309278350515463,-1
law_BTCUSDT_083424,BTCUSDT,2022,0,-5.0190624189302546e-05,-0.0035999181071506084,-0.010309278350515464,-1
law_BTCUSDT_083616,BTCUSDT,2022,0,-0.00015818287320374714,-0.01122249586064996,-0.010309278350515464,-1
law_BTCUSDT_083744,BTCUSDT,2022,8,0.00033833655829719413,0.013067348313072217,0.010309278350515464,1
law_BTCUSDT_083872,BTCUSDT,2022,16,-0.0022647127710625162,-0.09392516294703918,-0.10309278350515463,-1
law_BTCUSDT_084096,BTCUSDT,2022,0,-0.0001197016660912523,0.025850299905272704,0.030927835051546393,0
law_BTCUSDT_084640,BTCUSDT,2022,16,-0.0012725039608349046,-0.07397558116673127,-0.09278350515463916,0
law_BTCUSDT_084832,BTCUSDT,2022,16,-0.0015801602491192254,-0.09255808111770476,-0.10309278350515463,-1
law_BTCUSDT_085056,BTCUSDT,2022,0,0.00029087277142163053,0.020091534867779447,0.041237113402061855,0
law_BTCUSDT_085280,BTCUSDT,2022,8,-0.00016625112552034593,0.014240749285726894,0.010309278350515464,1
law_BTCUSDT_086496,BTCUSDT,2022,0,-0.000534954292845685,-0.019414363679359906,-0.010309278350515464,-1
law_BTCUSDT_086624,BTCUSDT,2022,8,0.0002049377598427216,0.02957360591373531,0.041237113402061855,1
law_BTCUSDT_087104,BTCUSDT,2022,8,-7.787547277219122e-05,-0.002380371116217587,0.0,0
law_BTCUSDT_087232,BTCUSDT,2022,16,-0.0017959029642787986,-0.09002600013391075,-0.10309278350515463,-1
law_BTCUSDT_087360,BTCUSDT,2022,0,-2.696609320929316e-05,-0.005785295119955625,0.010309278350515464,0
law_BTCUSDT_087552,BTCUSDT,2022,0,0.0011664663991885185,0.014693607354074371,0.030927835051546393,0
law_BTCUSDT_087744,BTCUSDT,2022,0,-0.0003099901225223933,-0.012042292922296489,0.0,0
law_BTCUSDT_087872,BTCUSDT,2022,8,-0.0004300824518801848,-0.007260557313299793,0.0,0
law_BTCUSDT_088000,BTCUSDT,2022,16,-0.001488474395217735,-0.07633846031144066,-0.08247422680412371,0
law_BTCUSDT_088160,BTCUSDT,2022,8,-0.0002381272629634291,0.00734193063551726,0.010309278350515464,1
law_BTCUSDT_088288,BTCUSDT,2022,16,-0.001630446572458554,-0.08947807351843275,-0.10309278350515463,-1
law_BTCUSDT_088416,BTCUSDT,2022,0,-0.00031888113385913344,-0.017457595318119985,-0.010309278350515464,-1
law_BTCUSDT_088544,BTCUSDT,2022,8,-0.0008059842903568245,-0.011971896498612442,0.0,0
law_BTCUSDT_088672,BTCUSDT,2022,16,-0.0019705899512878666,-0.08031325282941368,-0.10309278350515463,-1
law_BTCUSDT_088800,BTCUSDT,2022,0,3.536124298270755e-05,0.023997594716909307,0.02061855670103093,0
law_BTCUSDT_088960,BTCUSDT,2022,16,-0.00046858326058766544,-0.04584192006972241,-0.07216494845360824,0
law_BTCUSDT_089088,BTCUSDT,2022,0,0.0001556988042992315,0.022339363453554674,0.030927835051546393,0
law_BTCUSDT_089280,BTCUSDT,2022,0,-0.0009225682700970336,-0.022732026123864733,-0.010309278350515464,-1
law_BTCUSDT_089408,BTCUSDT,2022,8,-5.522930536663341e-05,0.019530674093114108,0.020618556701030927,1
law_BTCUSDT_089600,BTCUSDT,2022,8,-0.0003815153084796238,-0.006901378633003285,0.0,0
law_BTCUSDT_089728,BTCUSDT,2022,16,-0.001697758909704739,-0.07936066403303763,-0.09278350515463916,0
law_BTCUSDT_089856,BTCUSDT,2022,0,-0.001079865022810581,-0.03054478712092666,-0.010309278350515464,-1
law_BTCUSDT_089984,BTCUSDT,2022,8,-0.0010018521709176148,-0.007512607977474585,0.0,0
law_BTCUSDT_090112,BTCUSDT,2022,16,-0.002212095809203376,-0.08909662405488329,-0.10309278350515463,-1
law_BTCUSDT_090240,BTCUSDT,2022,0,-0.0005182394495494753,-0.016302212550939065,-0.010309278350515464,-1
law_BTCUSDT_090368,BTCUSDT,2022,8,-0.0005400110177524595,-0.005538827745126351,0.0,0
law_BTCUSDT_090496,BTCUSDT,2022,16,-0.0018715632769641989,-0.09417817504326312,-0.10309278350515463,-1
law_BTCUSDT_090624,BTCUSDT,2023,0,-0.0011055640549395424,-0.027716484228346217,-0.010309278350515464,-1
law_BTCUSDT_090752,BTCUSDT,2023,8,-0.000654762160516096,-0.011054307474257584,0.0,0
law_BTCUSDT_090880,BTCUSDT,2023,16,-0.0018603278493086789,-0.084828105621149,-0.10309278350515463,-1
law_BTCUSDT_091008,BTCUSDT,2023,0,-0.0007558229493911772,-0.027780636277659518,-0.010309278350515464,-1
law_BTCUSDT_091136,BTCUSDT,2023,8,-0.0004819592685690369,0.0011631461463526213,0.0,0
law_BTCUSDT_091264,BTCUSDT,2023,16,-0.0024611445019300897,-0.09711715387183541,-0.10309278350515463,-1
law_BTCUSDT_091392,BTCUSDT,2023,0,-0.0005871391260462984,-0.018758654167994732,-0.010309278350515464,-1
law_BTCUSDT_091520,BTCUSDT,2023,8,-0.00038662060158432647,-0.0020332079287427515,0.0,0
law_BTCUSDT_091648,BTCUSDT,2023,16,-0.0005861588127135504,-0.04140134623794523,-0.04123711340206185,0
law_BTCUSDT_092448,BTCUSDT,2023,0,8.414013322812527e-05,0.05725664251904371,0.030927835051546393,0
law_BTCUSDT_093280,BTCUSDT,2023,16,-0.001379201145984684,-0.07129944473188463,-0.09278350515463916,0
law_BTCUSDT_093952,BTCUSDT,2023,16,-0.0018253439726407684,-0.08338588135431983,-0.09278350515463916,0
law_BTCUSDT_094080,BTCUSDT,2023,0,0.0001053242574944799,-0.011312292177427696,0.02061855670103093,0
law_BTCUSDT_094240,BTCUSDT,2023,16,-0.00035978586985776703,-0.07363430123397947,-0.08247422680412371,0
law_BTCUSDT_094368,BTCUSDT,2023,0,0.0002635360724831846,0.022027819055943205,0.02061855670103093,0
law_BTCUSDT_094592,BTCUSDT,2023,8,-0.000275659169352896,-0.007126001302375465,0.0,0
law_BTCUSDT_094720,BTCUSDT,2023,16,-0.001417713368249645,-0.07307016914091165,-0.10309278350515463,-1
law_BTCUSDT_095328,BTCUSDT,2023,0,0.00010546802129303748,0.005772276602710416,0.02061855670103093,0
law_BTCUSDT_096000,BTCUSDT,2023,0,-0.0001656521646213032,-0.008566590667235207,0.010309278350515464,0
law_BTCUSDT_096256,BTCUSDT,2023,16,-0.0008138396873463528,-0.06048180804407689,-0.08247422680412371,0
law_BTCUSDT_096480,BTCUSDT,2023,0,0.0019825448511703843,0.03205171230545675,0.02061855670103093,0
law_BTCUSDT_096608,BTCUSDT,2023,8,-0.00042519404048226776,0.0019166991414157689,0.020618556701030927,1
law_BTCUSDT_096736,BTCUSDT,2023,16,-0.001522414608328132,-0.08784680557317509,-0.10309278350515463,-1
law_BTCUSDT_096864,BTCUSDT,2023,0,-0.0003534302652330964,-0.006964580220937721,0.010309278350515464,0
law_BTCUSDT_097120,BTCUSDT,2023,16,0.0004528368795585721,-0.004539392778263485,0.020618556701030938,0
law_BTCUSDT_099328,BTCUSDT,2023,16,-0.0017520255299863065,-0.08420109489927527,-0.10309278350515463,-1
law_BTCUSDT_099840,BTCUSDT,2023,0,-0.0004508245992691285,-0.02345796542633824,-0.010309278350515464,-1
law_BTCUSDT_099968,BTCUSDT,2023,8,-0.0005854373931156983,-0.010336564036652,0.0,0
law_BTCUSDT_100096,BTCUSDT,2023,16,-0.0017143777795394007,-0.07749706611440622,-0.10309278350515463,-1
law_BTCUSDT_100480,BTCUSDT,2023,16,-0.0012266036424326211,-0.0713919154136719,-0.09278350515463916,0
law_BTCUSDT_100640,BTCUSDT,2023,8,-0.00032934326802277624,-0.00880713452205437,0.0,0
law_BTCUSDT_100768,BTCUSDT,2023,16,-0.0015267077880816039,-0.0594292809208341,-0.08247422680412371,0
law_BTCUSDT_100928,BTCUSDT,2023,8,0.000502533835008454,0.022416866744978472,0.030927835051546393,1
law_BTCUSDT_101376,BTCUSDT,2023,0,0.0001872208161262665,-0.016612442245567925,0.010309278350515464,0
law_BTCUSDT_102016,BTCUSDT,2023,16,-0.001973029552200644,-0.07119698257178844,-0.08247422680412371,0
law_BTCUSDT_103392,BTCUSDT,2023,0,-0.00044651855273048304,-0.011596944554100552,-0.010309278350515464,-1
law_BTCUSDT_103520,BTCUSDT,2023,8,0.0002899718272350773,0.009288476278065668,0.010309278350515464,1
law_BTCUSDT_103712,BTCUSDT,2023,8,0.00019008388055462896,0.01570498641269739,0.010309278350515464,1
law_BTCUSDT_103968,BTCUSDT,2023,0,-0.0008236236176375883,-0.023327336105059805,-0.010309278350515464,-1
law_BTCUSDT_104096,BTCUSDT,2023,8,-0.00032058481997689287,0.0007656595731634179,0.0,0
law_BTCUSDT_104320,BTCUSDT,2023,16,-0.0014770523248916288,-0.05751172993936533,-0.07216494845360824,0
law_BTCUSDT_104576,BTCUSDT,2023,8,-0.00014239469968057813,0.001369379978688693,0.010309278350515464,1
law_BTCUSDT_104704,BTCUSDT,2023,16,-0.0017675021852653207,-0.0743328274983208,-0.09278350515463916,0
