age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
87,2,1,0.5,0.00980392156862745,0.49019607843137253,BTCUSDT,range_expansion
88,1,0,0.0,0.0,0.0,BTCUSDT,range_expansion
89,1,0,0.0,0.009900990099009901,-0.009900990099009901,BTCUSDT,range_expansion
90,1,0,0.0,0.03,-0.03,BTCUSDT,range_expansion
91,1,0,0.0,0.020618556701030927,-0.020618556701030927,BTCUSDT,range_expansion
92,1,0,0.0,0.0,0.0,BTCUSDT,range_expansion
93,1,0,0.0,0.021052631578947368,-0.021052631578947368,BTCUSDT,range_expansion
94,1,0,0.0,0.021505376344086023,-0.021505376344086023,BTCUSDT,range_expansion
95,1,0,0.0,0.0,0.0,BTCUSDT,range_expansion
96,1,0,0.0,0.01098901098901099,-0.01098901098901099,BTCUSDT,range_expansion
1,77,2,0.025974025974025976,0.0,0.025974025974025976,ETHUSDT,secondary_shock
2,75,1,0.013333333333333334,0.0,0.013333333333333334,ETHUSDT,secondary_shock
3,74,5,0.06756756756756757,0.0,0.06756756756756757,ETHUSDT,secondary_shock
4,69,6,0.08695652173913043,0.0,0.08695652173913043,ETHUSDT,secondary_shock
5,63,4,0.06349206349206349,0.0,0.06349206349206349,ETHUSDT,secondary_shock
6,59,4,0.06779661016949153,0.0,0.06779661016949153,ETHUSDT,secondary_shock
7,55,4,0.07272727272727272,0.0025974025974025974,0.07012987012987013,ETHUSDT,secondary_shock
8,51,8,0.1568627450980392,0.0,0.1568627450980392,ETHUSDT,secondary_shock
9,43,4,0.09302325581395349,0.0026041666666666665,0.09041908914728682,ETHUSDT,secondary_shock
10,39,10,0.2564102564102564,0.0026109660574412533,0.2537992903528151,ETHUSDT,secondary_shock
11,29,7,0.2413793103448276,0.0,0.2413793103448276,ETHUSDT,secondary_shock
12,22,3,0.13636363636363635,0.0,0.13636363636363635,ETHUSDT,secondary_shock
13,19,0,0.0,0.002617801047120419,-0.002617801047120419,ETHUSDT,secondary_shock
14,19,0,0.0,0.0,0.0,ETHUSDT,secondary_shock
