event_type,event_id,symbol,anchor_ts,anchor_hour,start_idx,end_idx,year,funding_rate_scaled,funding_abs,funding_abs_threshold,funding_sign,rv_rank,vol_regime,bull_bear,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
funding_extreme_reversal_window,ferw_ETHUSDT_019168,ETHUSDT,2020-12-17 16:00:00+00:00,16,19168,19264,2020,0.00133961,0.00133961,0.00107233,pos_funding,0.8170795875642332,high,bull,0.006023638932570586,0.07901850696610528,0.14432989690721648,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_020704,ETHUSDT,2021-01-02 16:00:00+00:00,16,20704,20800,2021,0.00109186,0.00109186,0.00107233,pos_funding,0.7793289522295489,high,bull,0.005422795536268274,0.28064024191551196,0.18556701030927836,1,3.0
funding_extreme_reversal_window,ferw_ETHUSDT_020801,ETHUSDT,2021-01-03 16:15:00+00:00,16,20801,20897,2021,0.00171498,0.00171498,0.00107233,pos_funding,0.9576648791464685,high,bull,0.013073501988411345,0.2931447449927731,0.6185567010309279,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_021024,ETHUSDT,2021-01-06 00:00:00+00:00,0,21024,21120,2021,0.0018218,0.0018218,0.00107233,pos_funding,0.9890677653012102,high,bull,0.01005701359004839,0.1550144736359972,0.36082474226804123,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_021121,ETHUSDT,2021-01-07 00:15:00+00:00,0,21121,21217,2021,0.00114512,0.00114512,0.00107233,pos_funding,0.979719669066198,high,bull,0.009432530795219989,0.1216869960719455,0.2268041237113402,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_021218,ETHUSDT,2021-01-08 00:30:00+00:00,0,21218,21314,2021,0.00171757,0.00171757,0.00107233,pos_funding,0.9711664408942825,high,bull,0.012353044896250248,0.1765393480408298,0.36082474226804123,1,1.0
funding_extreme_reversal_window,ferw_ETHUSDT_021376,ETHUSDT,2021-01-09 16:00:00+00:00,16,21376,21472,2021,0.00156908,0.00156908,0.00107233,pos_funding,0.9539368359772958,high,bull,0.007399714385591162,0.13054804539515324,0.24742268041237114,1,1.0
funding_extreme_reversal_window,ferw_ETHUSDT_021473,ETHUSDT,2021-01-10 16:15:00+00:00,16,21473,21569,2021,0.00126049,0.00126049,0.00107233,pos_funding,0.9522911232269404,high,bull,0.013749125194924638,0.3106960950764006,0.6082474226804123,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_022048,ETHUSDT,2021-01-16 16:00:00+00:00,16,22048,22144,2021,0.00152456,0.00152456,0.00107233,pos_funding,0.9683172307244494,high,bull,0.008258678709798507,0.10262100541954772,0.24742268041237114,1,2.0
funding_extreme_reversal_window,ferw_ETHUSDT_022176,ETHUSDT,2021-01-18 00:00:00+00:00,0,22176,22272,2021,0.00109082,0.00109082,0.00107233,pos_funding,0.9372278136650135,high,bull,0.006315739188429383,0.07893653599360756,0.08247422680412371,1,13.0
funding_extreme_reversal_window,ferw_ETHUSDT_022273,ETHUSDT,2021-01-19 00:15:00+00:00,0,22273,22369,2021,0.00121462,0.00121462,0.00107233,pos_funding,0.8561624665539671,high,bull,0.006874049019904645,0.14972047519217327,0.23711340206185566,1,4.0
funding_extreme_reversal_window,ferw_ETHUSDT_022370,ETHUSDT,2021-01-20 00:30:00+00:00,0,22370,22466,2021,0.00153883,0.00153883,0.00107233,pos_funding,0.9590810877377607,high,bull,0.008042342446996765,0.1241136260494669,0.26804123711340205,1,12.0
funding_extreme_reversal_window,ferw_ETHUSDT_023232,ETHUSDT,2021-01-29 00:00:00+00:00,0,23232,23328,2021,0.00112844,0.00112844,0.00107233,pos_funding,0.9044870861928059,high,bull,0.007905097729257016,0.11765760248549255,0.24742268041237114,1,1.0
funding_extreme_reversal_window,ferw_ETHUSDT_023424,ETHUSDT,2021-01-31 00:00:00+00:00,0,23424,23520,2021,0.00115111,0.00115111,0.00107233,pos_funding,0.7733338557818256,high,bull,0.0039100691027320195,0.07565287234889322,0.07216494845360824,1,49.0
funding_extreme_reversal_window,ferw_ETHUSDT_023648,ETHUSDT,2021-02-02 08:00:00+00:00,8,23648,23744,2021,0.00120708,0.00120708,0.00107233,pos_funding,0.8116554526829596,high,bull,0.006338334391113789,0.11527879357782189,0.14432989690721648,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_023745,ETHUSDT,2021-02-03 08:15:00+00:00,8,23745,23841,2021,0.00155522,0.00155522,0.00107233,pos_funding,0.9353134131186817,high,bull,0.006030728192457163,0.1216824126246237,0.12371134020618557,1,4.0
funding_extreme_reversal_window,ferw_ETHUSDT_023842,ETHUSDT,2021-02-04 08:30:00+00:00,8,23842,23938,2021,0.00135459,0.00135459,0.00107233,pos_funding,0.8580880624251312,high,bull,0.006402958340823164,0.0791812198541117,0.17525773195876287,1,1.0
funding_extreme_reversal_window,ferw_ETHUSDT_023939,ETHUSDT,2021-02-05 08:45:00+00:00,8,23939,24035,2021,0.0017643,0.0017643,0.00107233,pos_funding,0.9081647504002328,high,bull,0.005848973679988526,0.07377514722147495,0.13402061855670103,1,4.0
funding_extreme_reversal_window,ferw_ETHUSDT_024064,ETHUSDT,2021-02-06 16:00:00+00:00,16,24064,24160,2021,0.00143968,0.00143968,0.00107233,pos_funding,0.8434725658564983,high,bull,0.004845562225056375,0.12744554030107214,0.09278350515463918,1,7.0
funding_extreme_reversal_window,ferw_ETHUSDT_024256,ETHUSDT,2021-02-08 16:00:00+00:00,16,24256,24352,2021,0.00284408,0.00284408,0.00107233,pos_funding,0.9440625594751632,high,bull,0.007632597766566465,0.07890126038546326,0.15463917525773196,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_024353,ETHUSDT,2021-02-09 16:15:00+00:00,16,24353,24449,2021,0.00143234,0.00143234,0.00107233,pos_funding,0.9225451451473865,high,bull,0.006581412824916117,0.09688581314878893,0.17525773195876287,1,1.0
funding_extreme_reversal_window,ferw_ETHUSDT_024544,ETHUSDT,2021-02-11 16:00:00+00:00,16,24544,24640,2021,0.00180566,0.00180566,0.00107233,pos_funding,0.7579346864749281,high,bull,0.004501066040653685,0.04142821528489514,0.030927835051546393,1,17.0
funding_extreme_reversal_window,ferw_ETHUSDT_024641,ETHUSDT,2021-02-12 16:15:00+00:00,16,24641,24737,2021,0.00153886,0.00153886,0.00107233,pos_funding,0.7239064966470002,high,bull,0.004445362685900747,0.06274714698198826,0.1134020618556701,1,0.0
