event_id,symbol,anchor_hour,control_idx,start_idx,end_idx,funding_rate_scaled,funding_abs,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
ferw_ETHUSDT_022048,ETHUSDT,16,139264,139264,139360,0.0001,0.0001,0.9612193947807396,0.004717121745609898,0.05120500188466887,0.05154639175257732,1,4.0
ferw_ETHUSDT_022176,ETHUSDT,0,123747,123747,123843,0.0001,0.0001,0.9263459579279693,0.002855439299391217,0.036096472359647115,0.0,0,
ferw_ETHUSDT_022273,ETHUSDT,0,38019,38019,38115,-9.5e-07,9.5e-07,0.8604278853150924,0.004960335106637053,0.07048408627836708,0.020618556701030927,1,54.0
ferw_ETHUSDT_022370,ETHUSDT,0,45889,45889,45985,0.0001,0.0001,0.9584933331840624,0.008148522244817599,0.1294705108489534,0.14432989690721648,1,0.0
ferw_ETHUSDT_023232,ETHUSDT,0,48770,48770,48866,0.00035282,0.00035282,0.9081143714384873,0.005266332876285598,0.06893427112886785,0.041237113402061855,1,53.0
ferw_ETHUSDT_023424,ETHUSDT,0,145539,145539,145635,3.903e-05,3.903e-05,0.7711563651019334,0.0031040929364391694,0.03487942142337869,0.010309278350515464,1,6.0
ferw_ETHUSDT_023648,ETHUSDT,8,17987,17987,18083,0.0001,0.0001,0.8118401755426934,0.0037763045049249598,0.039268026525644234,0.010309278350515464,1,61.0
ferw_ETHUSDT_023745,ETHUSDT,8,45154,45154,45250,0.0001,0.0001,0.9427303158201136,0.00447335440750119,0.04865880775596082,0.041237113402061855,1,15.0
ferw_ETHUSDT_023842,ETHUSDT,8,29891,29891,29987,0.00026979,0.00026979,0.8656449066869675,0.0035820544347208837,0.05665334774288857,0.010309278350515464,1,14.0
ferw_ETHUSDT_023939,ETHUSDT,8,101792,101792,101888,5.85e-05,5.85e-05,0.9111874881049674,0.004819879884145265,0.042162738047676174,0.010309278350515464,1,41.0
ferw_ETHUSDT_024064,ETHUSDT,16,58913,58913,59009,0.0001,0.0001,0.8438308162511335,0.004667801436719692,0.05991088816158394,0.020618556701030927,1,0.0
ferw_ETHUSDT_024256,ETHUSDT,16,73026,73026,73122,-9.037e-05,9.037e-05,0.9522575372524433,0.005897811701686045,0.06251348486411935,0.1134020618556701,1,11.0
ferw_ETHUSDT_024353,ETHUSDT,16,5058,5058,5154,0.00047433,0.00047433,0.935548514940161,0.00473980811447115,0.04394174827449147,0.020618556701030927,1,1.0
ferw_ETHUSDT_024544,ETHUSDT,16,50753,50753,50849,0.0001,0.0001,0.7448361564210786,0.0035400174097252168,0.060595027128960394,0.030927835051546393,1,68.0
ferw_ETHUSDT_024641,ETHUSDT,16,163361,163361,163457,3.069e-05,3.069e-05,0.7279088252745654,0.004311393769398082,0.06238631588064885,0.030927835051546393,1,1.0
ferw_ETHUSDT_024768,ETHUSDT,0,10178,10178,10274,0.0001,0.0001,0.7255130257604424,0.004254165575586827,0.07386303120673131,0.09278350515463918,1,9.0
ferw_ETHUSDT_024992,ETHUSDT,8,158240,158240,158336,0.00049482,0.00049482,0.6970657053614411,0.004221898242815694,0.08873525258682552,0.061855670103092786,1,0.0
ferw_ETHUSDT_025120,ETHUSDT,16,149442,149442,149538,5.833e-05,5.833e-05,0.7569215095776004,0.0034727302433026513,0.05469005734514989,0.020618556701030927,1,42.0
ferw_ETHUSDT_025217,ETHUSDT,16,69762,69762,69858,3.132e-05,3.132e-05,0.6726710925517504,0.004009704556133295,0.04125228559960755,0.010309278350515464,1,78.0
ferw_ETHUSDT_025314,ETHUSDT,16,48259,48259,48355,0.00052591,0.00052591,0.4615160708887968,0.003044456098970172,0.04459787560794886,0.020618556701030927,1,1.0
ferw_ETHUSDT_025411,ETHUSDT,16,40387,40387,40483,0.0001,0.0001,0.8237184151898167,0.0066557789078362595,0.11988938361811986,0.17525773195876287,1,11.0
ferw_ETHUSDT_025508,ETHUSDT,17,57764,57764,57860,-0.0001332,0.0001332,0.9361922461180211,0.006543148156936176,0.16285049891113104,0.1958762886597938,1,10.0
ferw_ETHUSDT_027264,ETHUSDT,0,93698,93698,93794,0.0001,0.0001,0.7427650213270938,0.004502998655927684,0.0542424045893791,0.041237113402061855,1,0.0
ferw_ETHUSDT_027424,ETHUSDT,16,160001,160001,160097,8.674e-05,8.674e-05,0.7404587844116297,0.004702450074983264,0.07383121009471352,0.05154639175257732,1,2.0
ferw_ETHUSDT_027521,ETHUSDT,16,45186,45186,45282,0.0001,0.0001,0.6187712011464013,0.003625057570517769,0.06007244143033294,0.020618556701030927,1,25.0
ferw_ETHUSDT_029184,ETHUSDT,0,43872,43872,43968,0.0001,0.0001,0.7666950281562419,0.004252820424714083,0.1367488635200912,0.041237113402061855,1,20.0
ferw_ETHUSDT_029312,ETHUSDT,8,45536,45536,45632,0.0001,0.0001,0.690538830984181,0.0035130026593479416,0.04941472831850612,0.010309278350515464,1,48.0
ferw_ETHUSDT_029409,ETHUSDT,8,127904,127904,128000,0.0001,0.0001,0.6713780325336139,0.0027179421123627897,0.03104643104643107,0.0,0,
ferw_ETHUSDT_029664,ETHUSDT,0,14595,14595,14691,0.0001,0.0001,0.5770070418593195,0.0028749138703336153,0.03462831235832086,0.020618556701030927,1,93.0
ferw_ETHUSDT_030080,ETHUSDT,8,48227,48227,48323,0.00024049,0.00024049,0.49062951311532305,0.003126218636362398,0.04527653361520267,0.010309278350515464,1,33.0
ferw_ETHUSDT_030272,ETHUSDT,8,150754,150754,150850,3.074e-05,3.074e-05,0.36852770283129765,0.0027597298724015926,0.07198341264914812,0.020618556701030927,1,5.0
ferw_ETHUSDT_030369,ETHUSDT,8,28450,28450,28546,0.00010655,0.00010655,0.5988715112568991,0.004490547382845384,0.11814230126549741,0.13402061855670103,1,14.0
ferw_ETHUSDT_030466,ETHUSDT,8,27105,27105,27201,0.0005129,0.0005129,0.7474782530815132,0.004821863479410329,0.0818094745301817,0.1134020618556701,1,19.0
ferw_ETHUSDT_030563,ETHUSDT,8,22784,22784,22880,0.00058705,0.00058705,0.8728099145796715,0.005674791273495304,0.13711227841777812,0.16494845360824742,1,5.0
ferw_ETHUSDT_030660,ETHUSDT,9,86820,86820,86916,-2.821e-05,2.821e-05,0.7709156656180379,0.004328775613366344,0.08969497266351273,0.030927835051546393,1,16.0
ferw_ETHUSDT_032608,ETHUSDT,16,59488,59488,59584,1.908e-05,1.908e-05,0.8585806567177546,0.00598559849953915,0.082288867592436,0.05154639175257732,1,12.0
ferw_ETHUSDT_033856,ETHUSDT,16,34049,34049,34145,0.0001,0.0001,0.9942176147240912,0.01618520433639853,0.1709183980970673,0.6185567010309279,1,0.0
ferw_ETHUSDT_043040,ETHUSDT,8,135969,135969,136065,5.11e-06,5.11e-06,0.6865253070317835,0.00398261225010102,0.056294076049228925,0.061855670103092786,1,23.0
ferw_ETHUSDT_080160,ETHUSDT,0,74690,74690,74786,0.0001,0.0001,0.9448014509140983,0.007502374683829201,0.06326760382153321,0.21649484536082475,1,0.0
ferw_ETHUSDT_080257,ETHUSDT,0,36000,36000,36096,0.0001,0.0001,0.7310099302531263,0.004319453250282949,0.07161226189949173,0.05154639175257732,1,1.0
