event_id,symbol,year,funding_sign,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
ferw_BTCUSDT_030177,BTCUSDT,2021,pos_funding,0.00023956379002185646,-0.01941104019411067,0.020618556701030927,1
ferw_BTCUSDT_030274,BTCUSDT,2021,pos_funding,0.0005303244947735598,0.02487072809432276,0.061855670103092786,1
ferw_BTCUSDT_030371,BTCUSDT,2021,pos_funding,0.0001278952401980193,-0.0009636305886082733,0.02061855670103093,0
ferw_BTCUSDT_030468,BTCUSDT,2021,pos_funding,0.0015274221896030846,0.024299900827101515,0.041237113402061855,0
ferw_BTCUSDT_030592,BTCUSDT,2021,pos_funding,-0.0024885429741577304,-0.029723549956299757,-0.12371134020618557,0
ferw_BTCUSDT_030689,BTCUSDT,2021,pos_funding,0.00036969755673085846,0.01095129945002965,0.030927835051546393,1
ferw_BTCUSDT_030786,BTCUSDT,2021,pos_funding,0.0032114270551071838,0.1388036746865824,0.2268041237113402,0
ferw_BTCUSDT_032608,BTCUSDT,2021,pos_funding,-0.0003881951445841706,-0.048008971864956757,-0.10309278350515463,0
ferw_BTCUSDT_032960,BTCUSDT,2021,pos_funding,0.0004817776356026513,-0.002862610308539598,-0.010309278350515455,0
ferw_BTCUSDT_033856,BTCUSDT,2021,neg_funding,0.011656526081765036,0.11413240851343201,0.22680412371134018,0
ferw_BTCUSDT_085632,BTCUSDT,2022,neg_funding,-0.0007731310490873815,-0.010807423597805815,-0.041237113402061876,0
ferw_BTCUSDT_131872,BTCUSDT,2024,pos_funding,0.002655179356176249,0.08439803595161241,0.24742268041237114,0
ferw_ETHUSDT_005472,ETHUSDT,2020,pos_funding,-0.0007604599531195856,-0.057339893693507865,-0.14432989690721648,0
ferw_ETHUSDT_005760,ETHUSDT,2020,pos_funding,0.00031972643680868666,-0.01826663834533343,-0.051546391752577324,0
ferw_ETHUSDT_005952,ETHUSDT,2020,pos_funding,0.0065499694142483605,0.21024496124464126,0.27835051546391754,0
ferw_ETHUSDT_006752,ETHUSDT,2020,pos_funding,-0.0010732623674122202,-0.09787932468455816,-0.13402061855670103,0
ferw_ETHUSDT_007104,ETHUSDT,2020,pos_funding,0.00031128033212775904,-0.036491594612452716,-0.10309278350515463,0
ferw_ETHUSDT_007488,ETHUSDT,2020,pos_funding,-0.0012059256986720977,-0.06055780452729798,-0.061855670103092786,0
ferw_ETHUSDT_016800,ETHUSDT,2020,pos_funding,0.0010837788793161126,0.02117909856340365,0.09278350515463918,0
ferw_ETHUSDT_016960,ETHUSDT,2020,pos_funding,-0.0005019337878795693,-0.04794371926281276,-0.05154639175257732,0
ferw_ETHUSDT_017057,ETHUSDT,2020,pos_funding,0.004609384886401705,0.18464817161157496,0.30927835051546393,1
ferw_ETHUSDT_019168,ETHUSDT,2020,pos_funding,-9.250522590969514e-05,-0.020872318781666108,0.0,0
ferw_ETHUSDT_020704,ETHUSDT,2021,pos_funding,0.00037769428946251,0.20014421284185657,0.09278350515463918,0
ferw_ETHUSDT_020801,ETHUSDT,2021,pos_funding,0.0067925810403473,0.19215158481835026,0.4639175257731959,0
ferw_ETHUSDT_021024,ETHUSDT,2021,pos_funding,0.002356551910280557,0.08334258109544825,0.2268041237113402,0
ferw_ETHUSDT_021121,ETHUSDT,2021,pos_funding,0.00131345749553838,0.030357442108954788,-0.010309278350515455,0
ferw_ETHUSDT_021218,ETHUSDT,2021,pos_funding,0.004871133085988676,0.04130641628962112,0.18556701030927836,0
ferw_ETHUSDT_021376,ETHUSDT,2021,pos_funding,0.0014702982518778268,0.06813760119836941,0.13402061855670105,0
ferw_ETHUSDT_021473,ETHUSDT,2021,pos_funding,0.0065154167346939,0.19325075852252743,0.39175257731958757,0
ferw_ETHUSDT_022048,ETHUSDT,2021,pos_funding,0.0035415569641886087,0.051416003534878844,0.19587628865979384,0
ferw_ETHUSDT_022176,ETHUSDT,2021,pos_funding,0.003460299889038166,0.042840063633960444,0.08247422680412371,1
ferw_ETHUSDT_022273,ETHUSDT,2021,pos_funding,0.0019137139132675918,0.07923638891380619,0.21649484536082472,0
ferw_ETHUSDT_022370,ETHUSDT,2021,pos_funding,-0.00010617979782083335,-0.005356884799486497,0.12371134020618557,0
ferw_ETHUSDT_023232,ETHUSDT,2021,pos_funding,0.0026387648529714175,0.0487233313566247,0.2061855670103093,0
ferw_ETHUSDT_023424,ETHUSDT,2021,pos_funding,0.0008059761662928501,0.04077345092551453,0.06185567010309278,0
ferw_ETHUSDT_023648,ETHUSDT,2021,pos_funding,0.0025620298861888293,0.07601076705217766,0.13402061855670103,0
ferw_ETHUSDT_023745,ETHUSDT,2021,pos_funding,0.0015573737849559734,0.07302360486866288,0.08247422680412372,0
ferw_ETHUSDT_023842,ETHUSDT,2021,pos_funding,0.0028209039061022805,0.022527872111223125,0.16494845360824742,0
ferw_ETHUSDT_023939,ETHUSDT,2021,pos_funding,0.001029093795843261,0.031612409173798775,0.12371134020618556,0
ferw_ETHUSDT_024064,ETHUSDT,2021,pos_funding,0.00017776078833668316,0.0675346521394882,0.07216494845360825,0
ferw_ETHUSDT_024256,ETHUSDT,2021,pos_funding,0.00173478606488042,0.016387775521343906,0.04123711340206186,0
ferw_ETHUSDT_024353,ETHUSDT,2021,pos_funding,0.001841604710444967,0.05294406487429746,0.15463917525773194,0
ferw_ETHUSDT_024544,ETHUSDT,2021,pos_funding,0.0009610486309284683,-0.019166811844065254,0.0,0
ferw_ETHUSDT_024641,ETHUSDT,2021,pos_funding,0.00013396891650266536,0.00036083110133940804,0.08247422680412371,0
ferw_ETHUSDT_024768,ETHUSDT,2021,pos_funding,-0.00045877759377956247,-0.0343392372717022,-0.061855670103092786,0
ferw_ETHUSDT_024992,ETHUSDT,2021,pos_funding,0.00018636334945227716,-0.030385755829699247,0.0,0
ferw_ETHUSDT_025120,ETHUSDT,2021,pos_funding,0.00043090731755725427,0.020030636151116825,0.020618556701030927,0
ferw_ETHUSDT_025217,ETHUSDT,2021,pos_funding,-0.00036317380397699484,-0.005121579448791207,0.0,0
ferw_ETHUSDT_025314,ETHUSDT,2021,pos_funding,0.0008672931194640605,0.01702386701748735,0.061855670103092786,0
ferw_ETHUSDT_025411,ETHUSDT,2021,pos_funding,0.0002043355392424102,-0.003630620551483138,-0.0824742268041237,0
ferw_ETHUSDT_025508,ETHUSDT,2021,pos_funding,-0.0007868586256342784,0.05645115592553307,0.05154639175257733,0
ferw_ETHUSDT_027264,ETHUSDT,2021,pos_funding,-0.00022326971951755047,0.014969745101633118,0.041237113402061855,0
