parent_event_id,symbol,window_x,window_y,delta_secondary_shock,delta_realized_vol_mean_96,delta_range_expansion_96,year
vsr_v1_BTCUSDT_000036,BTCUSDT,48,144,-1.0,-0.0013706534479894983,-0.03017267878559888,2022
vsr_v1_BTCUSDT_000037,BTCUSDT,0,48,0.0,-0.0011330444803660028,-0.004165236202465228,2022
vsr_v1_BTCUSDT_000037,BTCUSDT,0,96,-1.0,-0.001958239237085059,-0.13368972411653657,2022
vsr_v1_BTCUSDT_000037,BTCUSDT,24,96,0.0,0.0007960248666231606,0.016551054910255998,2022
vsr_v1_BTCUSDT_000037,BTCUSDT,48,144,0.0,0.0004297269039217808,-0.005057077140394925,2022
vsr_v1_BTCUSDT_000038,BTCUSDT,0,48,0.0,0.0010285540705168845,0.02715650020729685,2022
vsr_v1_BTCUSDT_000038,BTCUSDT,0,96,0.0,0.0017396503930135333,0.02029138761685869,2022
vsr_v1_BTCUSDT_000038,BTCUSDT,24,96,0.0,0.002219346495180311,0.03730654656933607,2022
vsr_v1_BTCUSDT_000038,BTCUSDT,48,144,0.0,0.0010765683785520837,0.01566714049124391,2022
vsr_v1_BTCUSDT_000039,BTCUSDT,0,48,0.0,8.713667544291647e-05,-0.002690938450664499,2022
vsr_v1_BTCUSDT_000039,BTCUSDT,0,96,-1.0,-0.0008826955640560325,-0.011951206653386396,2022
vsr_v1_BTCUSDT_000039,BTCUSDT,24,96,0.0,0.0004147424801472859,-0.003275802255539032,2022
vsr_v1_BTCUSDT_000039,BTCUSDT,48,144,0.0,0.0005506796601583294,0.012959029453823285,2022
vsr_v1_BTCUSDT_000040,BTCUSDT,0,48,0.0,0.00028331781446751334,0.01074156767520082,2022
vsr_v1_BTCUSDT_000040,BTCUSDT,0,96,0.0,-8.328391802005816e-05,0.004897475286846913,2022
vsr_v1_BTCUSDT_000040,BTCUSDT,24,96,0.0,0.0009438204391299151,0.02084281177449097,2022
vsr_v1_BTCUSDT_000040,BTCUSDT,48,144,0.0,-0.0005281878155064131,0.002585697323288387,2022
vsr_v1_BTCUSDT_000041,BTCUSDT,0,48,0.0,0.0010613965188346433,0.015558395392012564,2022
vsr_v1_BTCUSDT_000041,BTCUSDT,0,96,0.0,-2.3211539470177275e-05,-0.028263281659577463,2022
vsr_v1_BTCUSDT_000041,BTCUSDT,24,96,0.0,0.0008667495457704839,-0.0031707597326143047,2022
vsr_v1_BTCUSDT_000041,BTCUSDT,48,144,0.0,-0.0007844413332934454,-0.01404302503929196,2022
vsr_v1_BTCUSDT_000042,BTCUSDT,0,48,0.0,0.0022807047071977103,0.030945269477139832,2022
vsr_v1_BTCUSDT_000042,BTCUSDT,0,96,0.0,0.003027233215403073,0.05343932231363866,2022
vsr_v1_BTCUSDT_000042,BTCUSDT,24,96,0.0,0.0030186143006588964,0.04702442476140907,2022
vsr_v1_BTCUSDT_000042,BTCUSDT,48,144,0.0,0.006347518089606118,0.0930485681636764,2022
vsr_v1_BTCUSDT_000043,BTCUSDT,0,48,0.0,0.0007477251802055181,0.017856336639742648,2022
vsr_v1_BTCUSDT_000043,BTCUSDT,0,96,0.0,0.001449144865378477,0.04341258713895428,2022
vsr_v1_BTCUSDT_000043,BTCUSDT,24,96,0.0,0.0019593708718194883,0.048836046531038596,2022
vsr_v1_BTCUSDT_000043,BTCUSDT,48,144,0.0,0.0031033294587238533,0.04002565772160899,2022
vsr_v1_BTCUSDT_000044,BTCUSDT,0,48,-1.0,-0.003361915297091884,-0.12470814592384102,2022
vsr_v1_BTCUSDT_000044,BTCUSDT,0,96,0.0,-0.00019809773683561504,-0.016864157561902106,2022
vsr_v1_BTCUSDT_000044,BTCUSDT,24,96,0.0,-0.0021223796927713192,-0.055298720001589516,2022
vsr_v1_BTCUSDT_000044,BTCUSDT,48,144,0.0,0.00033548454273825586,-0.002251742038556964,2022
vsr_v1_BTCUSDT_000045,BTCUSDT,0,48,0.0,-0.0007750278487199352,-0.022967323897217035,2022
vsr_v1_BTCUSDT_000045,BTCUSDT,0,96,0.0,0.0009032756388484865,0.028671230020381216,2022
vsr_v1_BTCUSDT_000045,BTCUSDT,24,96,0.0,-0.0010533185092759453,-0.00682057251612031,2022
vsr_v1_BTCUSDT_000045,BTCUSDT,48,144,0.0,0.0002105451008521191,0.01211215866626722,2022
vsr_v1_BTCUSDT_000046,BTCUSDT,0,48,0.0,0.00047352906009528843,0.010555253184377708,2022
vsr_v1_BTCUSDT_000046,BTCUSDT,0,96,0.0,0.0006389007527377337,0.0007268032971802924,2022
vsr_v1_BTCUSDT_000046,BTCUSDT,24,96,0.0,0.0006866692133171595,0.02750439601790721,2022
vsr_v1_BTCUSDT_000046,BTCUSDT,48,144,0.0,0.0014668651188313785,0.03064841135905215,2022
vsr_v1_BTCUSDT_000047,BTCUSDT,0,48,0.0,0.0001373169476452359,0.013924444440867694,2022
vsr_v1_BTCUSDT_000047,BTCUSDT,0,96,0.0,1.2676840818395471e-05,-0.0012495018080424317,2022
vsr_v1_BTCUSDT_000047,BTCUSDT,24,96,0.0,0.0012266807904045842,0.007381258884603295,2022
vsr_v1_BTCUSDT_000047,BTCUSDT,48,144,0.0,-0.001029337310342382,-0.00636693501435711,2022
vsr_v1_BTCUSDT_000048,BTCUSDT,0,48,0.0,-0.0009160449672340947,-0.019270205225758983,2022
vsr_v1_BTCUSDT_000048,BTCUSDT,0,96,-1.0,-0.0001369715024969794,-0.0021596492513430154,2022
vsr_v1_BTCUSDT_000048,BTCUSDT,24,96,0.0,0.00015739773793799856,0.008541470738525868,2022
vsr_v1_BTCUSDT_000048,BTCUSDT,48,144,0.0,0.0004814074760439266,0.021911199002578832,2022
vsr_v1_BTCUSDT_000049,BTCUSDT,0,48,0.0,-3.7370411613089644e-05,0.002982730084993071,2022
vsr_v1_BTCUSDT_000049,BTCUSDT,0,96,0.0,0.00010954550768072207,-0.03680490080998908,2022
vsr_v1_BTCUSDT_000049,BTCUSDT,24,96,0.0,-0.00020683185178696538,-0.009180859502248798,2022
vsr_v1_BTCUSDT_000049,BTCUSDT,48,144,0.0,-0.0005278726555398069,-0.05900098221120218,2022
vsr_v1_BTCUSDT_000050,BTCUSDT,0,48,0.0,0.0023778566089924444,0.03599866528428386,2022
vsr_v1_BTCUSDT_000050,BTCUSDT,0,96,0.0,0.0021971607363825006,0.044867773959711796,2022
vsr_v1_BTCUSDT_000050,BTCUSDT,24,96,0.0,0.0025808068734340115,0.03165051214274489,2022
vsr_v1_BTCUSDT_000050,BTCUSDT,48,144,0.0,0.0002598496498942447,0.016563227522218518,2022
vsr_v1_BTCUSDT_000051,BTCUSDT,0,48,0.0,-9.210766304797906e-05,0.0180984721097553,2022
vsr_v1_BTCUSDT_000051,BTCUSDT,0,96,0.0,5.647552650877002e-06,-0.0036081577457059005,2022
vsr_v1_BTCUSDT_000051,BTCUSDT,24,96,0.0,0.0012393162945907202,0.020446032369071682,2022
vsr_v1_BTCUSDT_000051,BTCUSDT,48,144,0.0,-0.0005221691164197452,-0.03431739276764346,2022
vsr_v1_BTCUSDT_000052,BTCUSDT,0,48,1.0,0.0010161149979545298,0.017671151979803776,2022
vsr_v1_BTCUSDT_000052,BTCUSDT,0,96,1.0,0.0015359891657648285,0.020567748917300663,2022
vsr_v1_BTCUSDT_000052,BTCUSDT,24,96,0.0,0.0008010329465899318,0.009874505676786563,2022
vsr_v1_BTCUSDT_000052,BTCUSDT,48,144,0.0,0.001207940362958519,0.03190377417779952,2022
vsr_v1_BTCUSDT_000053,BTCUSDT,0,48,0.0,0.00034560367537084767,-0.003557762830820793,2022
vsr_v1_BTCUSDT_000053,BTCUSDT,0,96,0.0,0.001090864375425008,0.02484531438941604,2022
vsr_v1_BTCUSDT_000053,BTCUSDT,24,96,0.0,-0.00020681713379607598,0.012119995942694754,2022
vsr_v1_BTCUSDT_000053,BTCUSDT,48,144,0.0,-0.0013011512832992937,-0.022417368284893453,2022
vsr_v1_BTCUSDT_000054,BTCUSDT,0,48,0.0,-0.0011824126106488627,-0.011609352671074685,2022
vsr_v1_BTCUSDT_000054,BTCUSDT,0,96,1.0,0.0015062840765152187,0.05186847260746246,2022
vsr_v1_BTCUSDT_000054,BTCUSDT,24,96,1.0,0.0014577249406475012,0.04745629276487537,2022
vsr_v1_BTCUSDT_000054,BTCUSDT,48,144,1.0,0.001655837358299008,0.04917538228258771,2022
vsr_v1_BTCUSDT_000055,BTCUSDT,0,48,0.0,0.0012379507038273712,0.008239476591959158,2022
vsr_v1_BTCUSDT_000055,BTCUSDT,0,96,0.0,-7.32390312698809e-05,-0.01953382918717575,2022
vsr_v1_BTCUSDT_000055,BTCUSDT,24,96,0.0,-0.00046186818249530364,-0.001665843840818356,2022
vsr_v1_BTCUSDT_000055,BTCUSDT,48,144,0.0,0.0003004199995883046,-0.010811861095794191,2022
vsr_v1_BTCUSDT_000056,BTCUSDT,0,48,1.0,0.008870771008984583,0.18683733094472557,2022
vsr_v1_BTCUSDT_000056,BTCUSDT,0,96,1.0,0.005399405217356053,0.1637370646912002,2022
vsr_v1_BTCUSDT_000056,BTCUSDT,24,96,1.0,0.007859371314430872,0.1485214769747635,2022
vsr_v1_BTCUSDT_000056,BTCUSDT,48,144,1.0,0.005054807817146915,0.13449026860238972,2022
vsr_v1_BTCUSDT_000057,BTCUSDT,0,48,0.0,0.0029911858039588773,0.06585503472944955,2022
vsr_v1_BTCUSDT_000057,BTCUSDT,0,96,0.0,0.0018890540515674736,-0.0021340114955762657,2022
vsr_v1_BTCUSDT_000057,BTCUSDT,24,96,0.0,0.004148015502109599,0.027985674470238794,2022
vsr_v1_BTCUSDT_000057,BTCUSDT,48,144,0.0,0.0021031510332752967,0.029853878192195094,2022
vsr_v1_BTCUSDT_000058,BTCUSDT,0,48,0.0,-0.0002497442533923198,0.00774225235909156,2022
vsr_v1_BTCUSDT_000058,BTCUSDT,0,96,0.0,0.0013634219997539206,0.043986780147740386,2022
vsr_v1_BTCUSDT_000058,BTCUSDT,24,96,-1.0,-0.002582953330641525,-0.1034277276686783,2022
vsr_v1_BTCUSDT_000058,BTCUSDT,48,144,0.0,0.0002515810815146885,0.01143666659797354,2022
vsr_v1_BTCUSDT_000059,BTCUSDT,0,48,0.0,-8.00274351503965e-05,-0.007696826855128878,2022
vsr_v1_BTCUSDT_000059,BTCUSDT,0,96,0.0,-7.060467092052675e-05,-0.018671911161011794,2022
vsr_v1_BTCUSDT_000059,BTCUSDT,24,96,-1.0,-0.00102373508576794,-0.027680994300909152,2022
vsr_v1_BTCUSDT_000059,BTCUSDT,48,144,0.0,0.0005073165696743464,0.009694336231444445,2022
vsr_v1_BTCUSDT_000060,BTCUSDT,0,48,0.0,-0.0006546351986829436,-0.012971553707508032,2022
vsr_v1_BTCUSDT_000060,BTCUSDT,0,96,1.0,0.0010630235362157972,0.03335330088154262,2022
vsr_v1_BTCUSDT_000060,BTCUSDT,24,96,1.0,0.0010737897250515098,0.03446709197320772,2022
vsr_v1_BTCUSDT_000060,BTCUSDT,48,144,1.0,0.0004505939236364629,0.016332924049349835,2022
vsr_v1_BTCUSDT_000061,BTCUSDT,0,48,0.0,-0.0016480136897675038,-0.025123198234086805,2022
vsr_v1_BTCUSDT_000061,BTCUSDT,0,96,0.0,0.0005827399436223638,0.014523120989580848,2022
