event_id,symbol,window_x,window_y,start_idx,end_idx,rv_rank,secondary_shock_within,time_to_secondary_shock,realized_vol_mean,range_expansion
vsr_v1_BTCUSDT_000027,BTCUSDT,0,48,34428,34476,0.9956958732411021,0,,0.005078900558931881,0.06737035283510459
vsr_v1_BTCUSDT_000027,BTCUSDT,0,96,68231,68327,0.9959707934255646,0,,0.0050525214009468945,0.1084018411549825
vsr_v1_BTCUSDT_000027,BTCUSDT,24,96,21837,21909,0.997221236845217,0,,0.005562455143658541,0.06355249275960581
vsr_v1_BTCUSDT_000027,BTCUSDT,48,144,34324,34420,0.9974133853612392,0,,0.00733588672007944,0.09148889209831462
vsr_v1_BTCUSDT_000028,BTCUSDT,0,48,42631,42679,0.7978035946553151,0,,0.002934453098370704,0.029027630093226942
vsr_v1_BTCUSDT_000028,BTCUSDT,0,96,44846,44942,0.7984687241338536,0,,0.0023343364887513404,0.02784903457021088
vsr_v1_BTCUSDT_000028,BTCUSDT,24,96,167552,167624,0.8361387016672579,0,,0.003178795287596349,0.047276619936375844
vsr_v1_BTCUSDT_000028,BTCUSDT,48,144,46234,46330,0.8722744472035001,0,,0.003634112271320297,0.07173905271464545
vsr_v1_BTCUSDT_000029,BTCUSDT,0,48,74017,74065,0.7000502542272673,0,,0.0023995206757726267,0.024984023308357695
vsr_v1_BTCUSDT_000029,BTCUSDT,0,96,52524,52620,0.7007715501951046,0,,0.004338818333154061,0.057957309824499474
vsr_v1_BTCUSDT_000029,BTCUSDT,24,96,61448,61520,0.8401767766347404,0,,0.00326969552172482,0.04754672442936834
vsr_v1_BTCUSDT_000029,BTCUSDT,48,144,59633,59729,0.84896239801348,0,,0.002401483104183554,0.033992729332892685
vsr_v1_BTCUSDT_000030,BTCUSDT,0,48,62367,62415,0.7004493319143904,0,,0.0015042272144710745,0.02334545585020366
vsr_v1_BTCUSDT_000030,BTCUSDT,0,96,65391,65487,0.6993969492727917,0,,0.0024810837540446442,0.0494117470849466
vsr_v1_BTCUSDT_000030,BTCUSDT,24,96,92161,92233,0.6820533286035237,0,,0.0022852242305442818,0.038266556104180054
vsr_v1_BTCUSDT_000030,BTCUSDT,48,144,14524,14620,0.6821893106302471,0,,0.002861147429709602,0.04828126306825526
vsr_v1_BTCUSDT_000031,BTCUSDT,0,48,126214,126262,0.630850183280123,0,,0.001358585802944409,0.014171279328223606
vsr_v1_BTCUSDT_000031,BTCUSDT,0,96,152323,152419,0.6309625162587206,0,,0.0011943158704108901,0.013006972097143138
vsr_v1_BTCUSDT_000031,BTCUSDT,24,96,38872,38944,0.6801998344566631,0,,0.0018850524890732846,0.020261900363745564
vsr_v1_BTCUSDT_000031,BTCUSDT,48,144,144038,144134,0.7104321863544992,0,,0.002349668489001651,0.028587842643759916
vsr_v1_BTCUSDT_000032,BTCUSDT,0,48,40031,40079,0.7517529856923258,0,,0.00223246731506471,0.02317086436112931
vsr_v1_BTCUSDT_000032,BTCUSDT,0,96,38525,38621,0.7519835639115525,0,,0.002699248696321862,0.06786513299784323
vsr_v1_BTCUSDT_000032,BTCUSDT,24,96,74558,74630,0.741025186236254,0,,0.0036454738139912986,0.08418193840921968
vsr_v1_BTCUSDT_000032,BTCUSDT,48,144,60672,60768,0.7786094359702022,0,,0.0032406294095983818,0.05986277738366059
vsr_v1_BTCUSDT_000033,BTCUSDT,0,48,73588,73636,0.7866146387607899,0,,0.003746932255953076,0.07153376094093235
vsr_v1_BTCUSDT_000033,BTCUSDT,0,96,16751,16847,0.7867092349532931,0,,0.0033734508397262066,0.06508546627094826
vsr_v1_BTCUSDT_000033,BTCUSDT,24,96,25459,25531,0.826611091403571,0,,0.003100922287021202,0.04499478125846522
vsr_v1_BTCUSDT_000033,BTCUSDT,48,144,98117,98213,0.8485574080643254,0,,0.003585740103110432,0.04911172864202077
vsr_v1_BTCUSDT_000034,BTCUSDT,0,48,50599,50647,0.6161493437389145,0,,0.0024686383919818567,0.03398090381607651
vsr_v1_BTCUSDT_000034,BTCUSDT,0,96,126556,126652,0.61576504670687,0,,0.004549124316546787,0.074244008714597
vsr_v1_BTCUSDT_000034,BTCUSDT,24,96,146426,146498,0.7160754404635213,0,,0.0035495102739975712,0.07342474864630376
vsr_v1_BTCUSDT_000034,BTCUSDT,48,144,30717,30813,0.7635715974932009,0,,0.00284485414124871,0.04851904145197532
vsr_v1_BTCUSDT_000035,BTCUSDT,0,48,80841,80889,0.8447173938748965,0,,0.0020543441235970905,0.03641951917813987
vsr_v1_BTCUSDT_000035,BTCUSDT,0,96,53712,53808,0.8441557289819085,0,,0.002724854691635839,0.05448358281512696
vsr_v1_BTCUSDT_000035,BTCUSDT,24,96,131520,131592,0.8710653896180679,0,,0.0015809278674926706,0.014558717434869715
vsr_v1_BTCUSDT_000035,BTCUSDT,48,144,166508,166604,0.8535562256119191,0,,0.0017190526860863522,0.026396499090326927
vsr_v1_BTCUSDT_000036,BTCUSDT,0,48,91969,92017,0.7279856923258838,0,,0.0024193091817834265,0.019892676073836532
vsr_v1_BTCUSDT_000036,BTCUSDT,0,96,160034,160130,0.7278349296440818,0,,0.002516957992493089,0.06271874384658864
vsr_v1_BTCUSDT_000036,BTCUSDT,24,96,56231,56303,0.8129537661109141,0,,0.002508865124574378,0.02256758710767987
vsr_v1_BTCUSDT_000036,BTCUSDT,48,144,61240,61336,0.842538725316306,1,3.0,0.0044603097201123335,0.07996546182812463
vsr_v1_BTCUSDT_000037,BTCUSDT,0,48,132928,132976,0.8100478893224548,0,,0.004114026494018917,0.05455729833781024
vsr_v1_BTCUSDT_000037,BTCUSDT,0,96,61204,61300,0.8111800875014781,1,39.0,0.005183391806963087,0.1840817862518816
vsr_v1_BTCUSDT_000037,BTCUSDT,24,96,75267,75339,0.8033640770958969,0,,0.0027085515136776764,0.03333661964256912
vsr_v1_BTCUSDT_000037,BTCUSDT,48,144,15685,15781,0.8018150644436561,0,,0.0026729940357281966,0.03978338143191664
vsr_v1_BTCUSDT_000038,BTCUSDT,0,48,40127,40175,0.7298096251625872,0,,0.002706746742708361,0.021412265872560534
vsr_v1_BTCUSDT_000038,BTCUSDT,0,96,79064,79160,0.7292450041385834,0,,0.002118936254894807,0.03613751662315917
vsr_v1_BTCUSDT_000038,BTCUSDT,24,96,42897,42969,0.7715147215324584,0,,0.0018420148368241628,0.018053302386021333
vsr_v1_BTCUSDT_000038,BTCUSDT,48,144,46859,46955,0.8024949745772733,0,,0.0020624724201681686,0.026576466631271042
vsr_v1_BTCUSDT_000039,BTCUSDT,0,48,117251,117299,0.25691734657680027,0,,0.0017854151866848963,0.028099341031551598
vsr_v1_BTCUSDT_000039,BTCUSDT,0,96,164845,164941,0.2571863544992314,1,45.0,0.002841174535791859,0.042727581610517235
vsr_v1_BTCUSDT_000039,BTCUSDT,24,96,150460,150532,0.2804658862480785,0,,0.0015044997366948979,0.0317835841381548
vsr_v1_BTCUSDT_000039,BTCUSDT,48,144,2786,2882,0.23425860234125576,0,,0.0013363093450839574,0.015365406426603372
vsr_v1_BTCUSDT_000040,BTCUSDT,0,48,99389,99437,0.29566926806196053,0,,0.0013937006145784408,0.01982745892130186
vsr_v1_BTCUSDT_000040,BTCUSDT,0,96,164996,165092,0.2951549012652241,0,,0.0017411508026650487,0.025671551309655767
vsr_v1_BTCUSDT_000040,BTCUSDT,24,96,142959,143031,0.3001478065507863,0,,0.0008063962180747386,0.00864876785917074
vsr_v1_BTCUSDT_000040,BTCUSDT,48,144,10303,10399,0.3606952820148989,0,,0.002322097869398666,0.024662029017386594
vsr_v1_BTCUSDT_000041,BTCUSDT,0,48,57199,57247,0.3352045642662883,0,,0.0022807281089246,0.02106337700417918
vsr_v1_BTCUSDT_000041,BTCUSDT,0,96,158603,158699,0.335337590161996,0,,0.002960917429969012,0.0648850540557692
vsr_v1_BTCUSDT_000041,BTCUSDT,24,96,66274,66346,0.4213787395057349,0,,0.0023114104004105266,0.03703639621825376
vsr_v1_BTCUSDT_000041,BTCUSDT,48,144,78877,78973,0.5227267352489062,0,,0.00269148655307776,0.03419482505321857
vsr_v1_BTCUSDT_000042,BTCUSDT,0,48,28678,28726,0.9244797209412321,0,,0.003122372442383005,0.039274801930993815
vsr_v1_BTCUSDT_000042,BTCUSDT,0,96,28684,28780,0.9244797209412321,0,,0.003201986216269286,0.051912555570988735
vsr_v1_BTCUSDT_000042,BTCUSDT,24,96,75001,75073,0.9461747664656498,0,,0.003456977135792405,0.05411231986008719
vsr_v1_BTCUSDT_000042,BTCUSDT,48,144,19380,19476,0.9473040085136574,0,,0.0033179194486540682,0.05346518059163664
vsr_v1_BTCUSDT_000043,BTCUSDT,0,48,163769,163817,0.30736963462220646,0,,0.0012979554660664373,0.01359534186776865
vsr_v1_BTCUSDT_000043,BTCUSDT,0,96,96082,96178,0.3070976705687596,0,,0.002183615839629179,0.03383536556997788
vsr_v1_BTCUSDT_000043,BTCUSDT,24,96,136679,136751,0.3263243466950455,0,,0.0023578688727646556,0.025472629144178898
vsr_v1_BTCUSDT_000043,BTCUSDT,48,144,87192,87288,0.3840960151353908,0,,0.0010307187134241701,0.018770187460379728
vsr_v1_BTCUSDT_000044,BTCUSDT,0,48,61202,61250,0.8186177131370462,1,41.0,0.0068602312379930875,0.16802256972936644
vsr_v1_BTCUSDT_000044,BTCUSDT,0,96,48779,48875,0.818750739032754,0,,0.003428473969749891,0.060178581367427514
vsr_v1_BTCUSDT_000044,BTCUSDT,24,96,35755,35827,0.8544312403925742,0,,0.00504024283114255,0.08835096536517967
vsr_v1_BTCUSDT_000044,BTCUSDT,48,144,49623,49719,0.8343059004375074,0,,0.0023938581369148523,0.039932886451879424
vsr_v1_BTCUSDT_000045,BTCUSDT,0,48,167279,167327,0.7308886129833274,0,,0.003537520824145249,0.060449393517597996
vsr_v1_BTCUSDT_000045,BTCUSDT,0,96,143594,143690,0.7314236726971739,0,,0.0022831959367129386,0.03698931506315921
vsr_v1_BTCUSDT_000045,BTCUSDT,24,96,52158,52230,0.7300668085609554,0,,0.004178771108708935,0.07091523540284532
vsr_v1_BTCUSDT_000045,BTCUSDT,48,144,55472,55568,0.7223631311339719,0,,0.0030855568152061536,0.061555465578183644
vsr_v1_BTCUSDT_000046,BTCUSDT,0,48,146063,146111,0.45668085609554215,0,,0.0027628447676301465,0.03520751529609796
vsr_v1_BTCUSDT_000046,BTCUSDT,0,96,145452,145548,0.4565566985928816,0,,0.0023968455585578773,0.06265630122231064
vsr_v1_BTCUSDT_000046,BTCUSDT,24,96,162534,162606,0.5688157739151,0,,0.0024445760691018323,0.02185827380394243
vsr_v1_BTCUSDT_000046,BTCUSDT,48,144,149695,149791,0.5888287808915691,0,,0.0013392459903327043,0.019206348913802705
vsr_v1_BTCUSDT_000047,BTCUSDT,0,48,80722,80770,0.5446080170273147,0,,0.0032711943510937225,0.0275522591418282
vsr_v1_BTCUSDT_000047,BTCUSDT,0,96,29817,29913,0.5446612273855977,0,,0.002721091580158433,0.04272620539073833
vsr_v1_BTCUSDT_000047,BTCUSDT,24,96,10412,10484,0.5375044341965236,0,,0.001629427357852546,0.02127312845080699
vsr_v1_BTCUSDT_000047,BTCUSDT,48,144,156601,156697,0.5784557171573844,0,,0.003572683592306313,0.03601312244835172
vsr_v1_BTCUSDT_000048,BTCUSDT,0,48,144577,144625,0.39764987584249734,0,,0.0027110058611612324,0.040881394689508736
vsr_v1_BTCUSDT_000048,BTCUSDT,0,96,107950,108046,0.39814946198415513,1,10.0,0.002190822400515374,0.05279430562494725
vsr_v1_BTCUSDT_000048,BTCUSDT,24,96,138718,138790,0.42830791060659806,0,,0.0017878669472578491,0.03367846342953238
vsr_v1_BTCUSDT_000048,BTCUSDT,48,144,136548,136644,0.4088743053092113,0,,0.0016614395568273965,0.020372799437283824
vsr_v1_BTCUSDT_000049,BTCUSDT,0,48,44875,44923,0.741554333688069,0,,0.002066404248491687,0.02165310629026022
vsr_v1_BTCUSDT_000049,BTCUSDT,0,96,38528,38624,0.7413947026132198,0,,0.0028659719645785942,0.0827927859616228
vsr_v1_BTCUSDT_000049,BTCUSDT,24,96,81547,81619,0.7387016672578929,0,,0.0035080332716760343,0.049246691443551864
vsr_v1_BTCUSDT_000049,BTCUSDT,48,144,74570,74666,0.741025186236254,0,,0.004036419674018122,0.09782670697621357
vsr_v1_BTCUSDT_000050,BTCUSDT,0,48,135560,135608,0.4741190729573135,0,,0.0022383415316380353,0.03105378803840704
vsr_v1_BTCUSDT_000050,BTCUSDT,0,96,124086,124182,0.47494974577273263,0,,0.0016375270238927092,0.0221846793629791
vsr_v1_BTCUSDT_000050,BTCUSDT,24,96,82454,82526,0.5419947972094123,0,,0.0010291172839937952,0.011157294879388878
vsr_v1_BTCUSDT_000050,BTCUSDT,48,144,147231,147327,0.5835373063734185,0,,0.003058850305758786,0.03375036562342122
vsr_v1_BTCUSDT_000051,BTCUSDT,0,48,58206,58254,0.9042982144968665,0,,0.003633331325826244,0.03270519402204051
vsr_v1_BTCUSDT_000051,BTCUSDT,0,96,97753,97849,0.9047179851010997,0,,0.003616230173949568,0.06668303060055637
vsr_v1_BTCUSDT_000051,BTCUSDT,24,96,40817,40889,0.894463166607544,0,,0.002440824746293885,0.02349292438127293
vsr_v1_BTCUSDT_000051,BTCUSDT,48,144,24892,24988,0.8906113278940523,0,,0.003519352810119399,0.07265292749947155
vsr_v1_BTCUSDT_000052,BTCUSDT,0,48,124994,125042,0.145447558235781,0,,0.0014579686111225066,0.0141396105413718
vsr_v1_BTCUSDT_000052,BTCUSDT,0,96,1973,2069,0.14472626226794372,0,,0.0010545670069521528,0.02517116391461941
vsr_v1_BTCUSDT_000052,BTCUSDT,24,96,129005,129077,0.13481139884119664,0,,0.0016004739927963278,0.02970900649518137
