condition,condition_desc,action,action_family,sample_size,baseline_mode,delta_adverse_mean,delta_adverse_ci_low,delta_adverse_ci_high,delta_opportunity_mean,delta_opportunity_ci_low,delta_opportunity_ci_high,delta_exposure_mean,gate_a_ci_separated,gate_b_time_stable,gate_b_year_signs,gate_c_regime_stable,gate_d_friction_floor,gate_f_exposure_guard,gate_e_simplicity,gate_pass,gate_all,fail_reasons
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0.5,risk_throttle,210,matched_controls_excess,-0.05760092051556014,-0.07194947514415478,-0.04464011578067568,-0.010988102676808586,-0.01264185667656708,-0.009661459992114966,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,risk_throttle_0,risk_throttle,210,matched_controls_excess,-0.11520184103112029,-0.14113227144410403,-0.09012050500201783,-0.021976205353617172,-0.025121546216650737,-0.01915750320244181,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_BTCUSDT,symbol == BTCUSDT,delay_0,timing,210,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_BTCUSDT,symbol == BTCUSDT,delay_8,timing,210,matched_controls_excess,-0.11520184103112029,-0.1412286477682618,-0.08882385261608385,-0.0018313504461347644,-0.0021076700090911543,-0.0015922951252441895,-0.08333333333333333,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,delay_30,timing,210,matched_controls_excess,-0.11520184103112029,-0.14347298282041804,-0.08880910632187974,-0.006867564173005367,-0.00776957196892821,-0.005918147212519911,-0.3125,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_BTCUSDT,symbol == BTCUSDT,reenable_at_half_life,timing,210,matched_controls_excess,-0.11520184103112029,-0.14215573204109028,-0.08892380150241808,-0.021976205353617172,-0.025361890081276636,-0.018844970191503354,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,no_action,baseline,177,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
symbol_ETHUSDT,symbol == ETHUSDT,entry_gate_skip,entry_gating,177,matched_controls_excess,-0.11277273017270086,-0.14130823479194177,-0.08556273329231526,-0.029588911617705067,-0.033768901771097766,-0.02586003127999807,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,risk_throttle_0.5,risk_throttle,177,matched_controls_excess,-0.05638636508635043,-0.0707002862147232,-0.04237941324845346,-0.014794455808852533,-0.017052761534927435,-0.012727638464448464,-0.5,True,True,"-1,-1,-1,-1,-1,-1",True,True,True,True,True,True,
symbol_ETHUSDT,symbol == ETHUSDT,risk_throttle_0,risk_throttle,177,matched_controls_excess,-0.11277273017270086,-0.14359011294286145,-0.0840304404168067,-0.029588911617705067,-0.03393534179516056,-0.02574178613878991,-1.0,True,True,"-1,-1,-1,-1,-1,-1",True,True,False,True,False,False,gate_f_exposure_guard
symbol_ETHUSDT,symbol == ETHUSDT,delay_0,timing,177,matched_controls_excess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,all_zero,True,False,True,True,False,False,"gate_a_ci,gate_b_time,gate_d_friction"
