age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
39,21,0,0.0,0.01951219512195122,-0.01951219512195122,BTCUSDT,range_expansion
40,21,0,0.0,0.007462686567164179,-0.007462686567164179,BTCUSDT,range_expansion
41,21,0,0.0,0.015037593984962405,-0.015037593984962405,BTCUSDT,range_expansion
42,21,0,0.0,0.017811704834605598,-0.017811704834605598,BTCUSDT,range_expansion
43,21,0,0.0,0.012953367875647668,-0.012953367875647668,BTCUSDT,range_expansion
44,21,0,0.0,0.015748031496062992,-0.015748031496062992,BTCUSDT,range_expansion
45,21,2,0.09523809523809523,0.016,0.07923809523809523,BTCUSDT,range_expansion
46,19,0,0.0,0.01084010840108401,-0.01084010840108401,BTCUSDT,range_expansion
47,19,0,0.0,0.00821917808219178,-0.00821917808219178,BTCUSDT,range_expansion
48,19,0,0.0,0.013812154696132596,-0.013812154696132596,BTCUSDT,range_expansion
49,19,1,0.05263157894736842,0.01680672268907563,0.03582485625829279,BTCUSDT,range_expansion
50,18,1,0.05555555555555555,0.005698005698005698,0.04985754985754985,BTCUSDT,range_expansion
51,17,1,0.058823529411764705,0.02005730659025788,0.038766222821506824,BTCUSDT,range_expansion
52,16,0,0.0,0.011695906432748537,-0.011695906432748537,BTCUSDT,range_expansion
53,16,0,0.0,0.01775147928994083,-0.01775147928994083,BTCUSDT,range_expansion
54,16,1,0.0625,0.015060240963855422,0.04743975903614458,BTCUSDT,range_expansion
55,15,2,0.13333333333333333,0.0061162079510703364,0.12721712538226299,BTCUSDT,range_expansion
56,13,0,0.0,0.018461538461538463,-0.018461538461538463,BTCUSDT,range_expansion
57,13,0,0.0,0.009404388714733543,-0.009404388714733543,BTCUSDT,range_expansion
58,13,0,0.0,0.00949367088607595,-0.00949367088607595,BTCUSDT,range_expansion
59,13,0,0.0,0.012779552715654952,-0.012779552715654952,BTCUSDT,range_expansion
60,13,1,0.07692307692307693,0.02912621359223301,0.04779686333084392,BTCUSDT,range_expansion
61,12,0,0.0,0.016666666666666666,-0.016666666666666666,BTCUSDT,range_expansion
62,12,0,0.0,0.013559322033898305,-0.013559322033898305,BTCUSDT,range_expansion
63,12,0,0.0,0.020618556701030927,-0.020618556701030927,BTCUSDT,range_expansion
64,12,0,0.0,0.010526315789473684,-0.010526315789473684,BTCUSDT,range_expansion
65,12,0,0.0,0.028368794326241134,-0.028368794326241134,BTCUSDT,range_expansion
66,12,0,0.0,0.01824817518248175,-0.01824817518248175,BTCUSDT,range_expansion
67,12,0,0.0,0.007434944237918215,-0.007434944237918215,BTCUSDT,range_expansion
68,12,0,0.0,0.011235955056179775,-0.011235955056179775,BTCUSDT,range_expansion
69,12,1,0.08333333333333333,0.007575757575757576,0.07575757575757575,BTCUSDT,range_expansion
70,11,0,0.0,0.019083969465648856,-0.019083969465648856,BTCUSDT,range_expansion
71,11,0,0.0,0.007782101167315175,-0.007782101167315175,BTCUSDT,range_expansion
72,11,0,0.0,0.011764705882352941,-0.011764705882352941,BTCUSDT,range_expansion
73,11,1,0.09090909090909091,0.007936507936507936,0.08297258297258298,BTCUSDT,range_expansion
74,10,0,0.0,0.016,-0.016,BTCUSDT,range_expansion
75,10,1,0.1,0.0040650406504065045,0.09593495934959351,BTCUSDT,range_expansion
76,9,0,0.0,0.0163265306122449,-0.0163265306122449,BTCUSDT,range_expansion
77,9,0,0.0,0.004149377593360996,-0.004149377593360996,BTCUSDT,range_expansion
78,9,0,0.0,0.0,0.0,BTCUSDT,range_expansion
79,9,0,0.0,0.016666666666666666,-0.016666666666666666,BTCUSDT,range_expansion
80,9,0,0.0,0.0211864406779661,-0.0211864406779661,BTCUSDT,range_expansion
81,9,2,0.2222222222222222,0.021645021645021644,0.20057720057720058,BTCUSDT,range_expansion
82,7,0,0.0,0.01327433628318584,-0.01327433628318584,BTCUSDT,range_expansion
83,7,0,0.0,0.017937219730941704,-0.017937219730941704,BTCUSDT,range_expansion
84,7,0,0.0,0.0136986301369863,-0.0136986301369863,BTCUSDT,range_expansion
85,7,0,0.0,0.013888888888888888,-0.013888888888888888,BTCUSDT,range_expansion
86,7,0,0.0,0.004694835680751174,-0.004694835680751174,BTCUSDT,range_expansion
87,7,0,0.0,0.02358490566037736,-0.02358490566037736,BTCUSDT,range_expansion
88,7,1,0.14285714285714285,0.01932367149758454,0.1235334713595583,BTCUSDT,range_expansion
89,6,0,0.0,0.03940886699507389,-0.03940886699507389,BTCUSDT,range_expansion
90,6,0,0.0,0.010256410256410256,-0.010256410256410256,BTCUSDT,range_expansion
91,6,1,0.16666666666666666,0.015544041450777202,0.15112262521588946,BTCUSDT,range_expansion
92,5,0,0.0,0.031578947368421054,-0.031578947368421054,BTCUSDT,range_expansion
93,5,0,0.0,0.016304347826086956,-0.016304347826086956,BTCUSDT,range_expansion
94,5,0,0.0,0.022099447513812154,-0.022099447513812154,BTCUSDT,range_expansion
95,5,0,0.0,0.01694915254237288,-0.01694915254237288,BTCUSDT,range_expansion
96,5,0,0.0,0.017241379310344827,-0.017241379310344827,BTCUSDT,range_expansion
