event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
law_BTCUSDT_127296,BTCUSDT,2024,0,-0.00036757381555457434,0.021169037170798065,0.03092783505154639,0
law_BTCUSDT_127584,BTCUSDT,2024,0,-0.0013437090436166977,-0.022577522143367668,-0.020618556701030927,-1
law_BTCUSDT_127712,BTCUSDT,2024,8,0.0014429867237544644,0.026569945342942627,0.051546391752577324,0
law_BTCUSDT_128064,BTCUSDT,2024,0,-0.00027980427572970256,0.02907406000899121,0.0,0
law_BTCUSDT_128224,BTCUSDT,2024,16,-5.711724891551795e-05,-0.00469421932728506,-0.010309278350515464,-1
law_BTCUSDT_128896,BTCUSDT,2024,16,-0.00043497715103327597,-0.018169016534768517,-0.010309278350515464,-1
law_BTCUSDT_129024,BTCUSDT,2024,0,-0.0006440162510032276,-0.00011959455953867298,-0.020618556701030927,-1
law_BTCUSDT_129216,BTCUSDT,2024,0,-0.0006488274599667112,0.007419613704514036,-0.020618556701030927,-1
law_BTCUSDT_130240,BTCUSDT,2024,16,0.0003199260103548978,-0.004880275361139861,0.0,0
law_BTCUSDT_130368,BTCUSDT,2024,0,-0.0005743370711517391,-0.015566130089224525,-0.010309278350515464,0
law_BTCUSDT_130912,BTCUSDT,2024,16,-0.000316295357117967,-0.014923628460205726,-0.010309278350515464,-1
law_BTCUSDT_131040,BTCUSDT,2024,0,-0.0004688115996522419,0.04703128694805454,0.010309278350515465,0
law_BTCUSDT_131648,BTCUSDT,2024,8,0.0007856269264718489,0.03884935783189834,0.041237113402061855,0
law_BTCUSDT_132288,BTCUSDT,2024,0,-0.0003675318104059335,-0.004714124053339531,-0.010309278350515464,0
law_BTCUSDT_134272,BTCUSDT,2024,16,-0.00041603345888481546,-0.01338334059911003,-0.010309278350515464,-1
law_BTCUSDT_134400,BTCUSDT,2024,0,-8.125685056236277e-05,0.01440069243423616,-0.010309278350515464,0
law_BTCUSDT_134944,BTCUSDT,2024,16,0.0003257212268304437,0.0005070668181017153,0.0,0
law_BTCUSDT_137088,BTCUSDT,2024,0,-0.00037897328449468053,0.007382519643767023,0.0,0
law_BTCUSDT_138336,BTCUSDT,2024,0,-0.0010119674967831922,-0.01050003900352791,-0.020618556701030927,-1
law_BTCUSDT_138976,BTCUSDT,2024,16,-0.00010243151978652355,-0.014293264882566176,-0.010309278350515464,-1
law_BTCUSDT_139648,BTCUSDT,2024,16,-0.00029553050274253815,-0.01796520303086207,-0.010309278350515464,-1
law_BTCUSDT_139776,BTCUSDT,2024,0,-0.0005862053028710232,0.004449869219152705,0.0,0
law_BTCUSDT_140320,BTCUSDT,2024,16,-0.0005935235112511312,-0.01441889327539871,0.0,0
law_BTCUSDT_140448,BTCUSDT,2024,0,-0.00030939249443393815,0.008511220947674786,-0.010309278350515464,0
law_BTCUSDT_140832,BTCUSDT,2024,0,-0.00022514139330523505,0.021094371914443855,0.020618556701030927,0
