event_id,symbol,anchor_hour,start_idx,end_idx,activity_metric,activity_rank,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
law_ETHUSDT_109696,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_109824,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_109952,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_110080,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_110208,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_110336,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_110464,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_110592,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_110720,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
law_ETHUSDT_110848,ETHUSDT,16,149824,149920,0.0021270886427776103,0.20042987641053198,0.20132545226580692,0.00302767449944593,0.04690246192317441,0.030927835051546393,1,25.0
law_ETHUSDT_110976,ETHUSDT,0,107040,107136,0.0021158946688519583,0.20042987641053198,0.19935518538420205,0.0027053975062699,0.06431306778476588,0.05154639175257732,1,4.0
law_ETHUSDT_111104,ETHUSDT,8,168512,168608,0.00211759772044259,0.20042987641053198,0.19971341572631202,0.0016581615733564246,0.023636024387414908,0.0,0,
